TimerID Timer1 1
TimerID Timer2 2
SubscriberID Subscriber1 4
SubscriberID Subscriber2 5
TimerID Timer3 3
SubscriberID Subscriber3 6
SubscriberID Subscriber4 7
SubscriberID Subscriber5 8
SubscriberID Subscriber6 9
SubscriberID Subscriber7 10
SubscriberID Subscriber8 11
SubscriberID Subscriber9 12
SubscriberID Subscriber10 13
Timer 1 63 12800000000
Timer 3 79 12802000000
Subscriber 4 63 12822000000
Subscriber 12 77 12866000000
Subscriber 10 62 12876000000
Subscriber 6 63 12924000000
Subscriber 8 79 12924000000
Subscriber 11 29 12956000000
Timer 3 80 12962000000
Subscriber 13 29 12976000000
Timer 1 64 13000000000
Subscriber 12 78 13016000000
Timer 2 30 13020000000
Subscriber 4 64 13022000000
Subscriber 5 30 13042000000
Subscriber 10 63 13076000000
Timer 3 81 13122000000
Subscriber 6 64 13124000000
Subscriber 7 30 13124000000
Subscriber 8 80 13124000000
Subscriber 9 30 13124000000
Subscriber 12 79 13166000000
Timer 1 65 13200000000
Subscriber 4 65 13222000000
Subscriber 8 81 13274000000
Subscriber 10 64 13276000000
Timer 3 82 13282000000
Subscriber 6 65 13324000000
Subscriber 11 30 13356000000
Subscriber 12 80 13366000000
Subscriber 13 30 13376000000
Timer 1 66 13400000000
Subscriber 4 66 13422000000
Subscriber 8 82 13424000000
Timer 2 31 13440000000
Timer 3 83 13442000000
Subscriber 5 31 13462000000
Subscriber 10 65 13476000000
Subscriber 12 81 13516000000
Subscriber 6 66 13524000000
Subscriber 7 31 13574000000
Subscriber 8 83 13574000000
Subscriber 9 31 13574000000
Timer 1 67 13600000000
Timer 3 84 13602000000
Subscriber 4 67 13622000000
Subscriber 12 82 13666000000
Subscriber 10 66 13676000000
Subscriber 6 67 13724000000
Subscriber 8 84 13724000000
Timer 3 85 13762000000
Timer 1 68 13800000000
Subscriber 11 31 13806000000
Subscriber 12 83 13816000000
Subscriber 4 68 13822000000
Subscriber 13 31 13826000000
Timer 2 32 13860000000
Subscriber 10 67 13876000000
Subscriber 5 32 13882000000
Timer 3 86 13922000000
Subscriber 6 68 13924000000
Subscriber 8 85 13924000000
Subscriber 12 84 13966000000
Subscriber 7 32 13974000000
Subscriber 9 32 13974000000
Timer 1 69 14000000000
Subscriber 4 69 14022000000
Subscriber 8 86 14074000000
Subscriber 10 68 14076000000
Timer 3 87 14082000000
Subscriber 6 69 14124000000
Subscriber 12 85 14166000000
Timer 1 70 14200000000
Subscriber 11 32 14206000000
Subscriber 4 70 14222000000
Subscriber 8 87 14224000000
Subscriber 13 32 14226000000
Timer 3 88 14242000000
Subscriber 10 69 14276000000
Timer 2 33 14280000000
Subscriber 5 33 14302000000
Subscriber 12 86 14316000000
Subscriber 6 70 14324000000
Subscriber 7 33 14374000000
Subscriber 8 88 14374000000
Subscriber 9 33 14374000000
Timer 1 71 14400000000
Timer 3 89 14402000000
Subscriber 4 71 14422000000
Subscriber 12 87 14466000000
Subscriber 10 70 14476000000
Subscriber 6 71 14524000000
Subscriber 8 89 14524000000
Timer 3 90 14562000000
Timer 1 72 14600000000
Subscriber 11 33 14606000000
Subscriber 12 88 14616000000
Subscriber 4 72 14622000000
Subscriber 13 33 14626000000
Subscriber 10 71 14676000000
Timer 2 34 14700000000
Subscriber 5 34 14722000000
Timer 3 91 14722000000
Subscriber 6 72 14724000000
Subscriber 8 90 14724000000
Subscriber 12 89 14766000000
Timer 1 73 14800000000
Subscriber 4 73 14822000000
Subscriber 7 34 14824000000
Subscriber 9 34 14824000000
Subscriber 8 91 14874000000
Subscriber 10 72 14876000000
Timer 3 92 14882000000
Subscriber 6 73 14924000000
Subscriber 12 90 14966000000
Timer 1 74 15000000000
